run	round	experiment	type	concurrent_type	workload	co_workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	gpu0_util_pct	gpu0_power_W	gpu1_util_pct	gpu1_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
run1	run1	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.0	38.6	86.08	100.0	142.40	38.6	86.08	2	GPU1	1	4.0	1855.4	0.0	0.0	0.0	67.8
run3	run3	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	101.1	37.9	58.97	37.9	58.97	0.0	11.57	2	GPU0	1	4.0	1779.3	0.0	0.0	0.0	67.9
run3	run3	PT_pytorch_gemm	solo	-	PT(PyTorch_GEMM)	-	yolo.slice	100.0	100.0	169.82	100.0	169.82	0.0	11.50	2	GPU0	1	4.0	788.9	0.0	0.0	0.0	67.9
run3	run3	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	140.43	100.0	140.43	0.0	11.62	2	GPU0	1	4.0	1280.5	0.0	0.0	0.0	68.0
run3	run3	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.0	40.8	55.94	40.8	55.94	0.0	11.62	2	GPU0	1	4.0	2205.6	0.0	0.0	0.0	67.9
run3	run3	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	11.43	0.0	12.05	0.0	11.43	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.9
run3	run3	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.8	32.6	56.99	32.6	56.99	0.0	11.67	2	GPU0	1	4.0	1771.1	0.0	0.0	0.0	67.2
run3	run3	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	11.67	32.6	56.99	0.0	11.67	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.2
run3	run3	PTB2_concurrent	concurrent	ai_b2	PT(PyTorch_GEMM)	B2(Node_Heavy)	yolo.slice	100.0	99.1	169.80	99.1	169.80	0.0	11.50	2	GPU0	1	4.0	788.6	0.0	0.0	0.0	67.4
run3	run3	PTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	PT(PyTorch_GEMM)	nodejs.slice	0.0	0.0	11.50	99.1	169.80	0.0	11.50	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.4
run3	run3	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	140.46	99.0	140.46	0.0	11.86	2	GPU0	1	4.0	1279.4	0.0	0.0	0.0	69.3
run3	run3	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	11.86	99.0	140.46	0.0	11.86	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	69.3
run3	run3	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	36.7	53.73	36.7	53.73	0.0	11.58	2	GPU0	1	4.0	2195.1	0.0	0.0	0.0	66.9
run3	run3	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	11.58	36.7	53.73	0.0	11.58	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	66.9
run3	run3	A2PT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	PT(PyTorch_GEMM)	yolo.slice	100.8	38.2	60.69	38.2	60.69	100.0	169.80	2	GPU0	1	4.0	1499.4	0.0	0.0	0.0	67.8
run3	run3	A2PT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	A2(YOLO_Medium)	nodejs.slice	100.1	100.0	169.80	38.2	60.69	100.0	169.80	2	GPU1	1	4.0	644.1	0.0	0.0	0.0	67.8
run3	run3	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.9	37.3	60.91	37.3	60.91	99.7	169.29	2	GPU0	1	4.0	1367.9	0.0	0.0	0.0	68.0
run3	run3	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.1	99.7	169.29	37.3	60.91	99.7	169.29	2	GPU1	1	4.0	1089.8	0.0	0.0	0.0	68.0
run3	run3	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	yolo.slice	100.9	35.7	60.60	35.7	60.60	37.0	70.87	2	GPU0	1	4.0	1505.6	0.0	0.0	0.0	68.0
run3	run3	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	A2(YOLO_Medium)	nodejs.slice	100.1	37.0	70.87	35.7	60.60	37.0	70.87	2	GPU1	1	4.0	1874.4	0.0	0.0	0.0	68.0
run3	run3	PTRN_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	RN(ResNet18)	yolo.slice	100.0	100.0	169.79	100.0	169.79	100.0	168.90	2	GPU0	1	4.0	598.3	0.0	0.0	0.0	68.0
run3	run3	PTRN_concurrent	concurrent	ai_ai	RN(ResNet18)	PT(PyTorch_GEMM)	nodejs.slice	100.0	100.0	168.90	100.0	169.79	100.0	168.90	2	GPU1	1	4.0	1052.6	0.0	0.0	0.0	68.0
run3	run3	PTGPT_concurrent	concurrent	ai_ai	PT(PyTorch_GEMM)	GPT(GPT-2)	yolo.slice	100.1	100.0	169.81	100.0	169.81	39.5	86.95	2	GPU0	1	4.0	592.5	0.0	0.0	0.0	68.0
run3	run3	PTGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	PT(PyTorch_GEMM)	nodejs.slice	100.1	39.5	86.95	100.0	169.81	39.5	86.95	2	GPU1	1	4.0	1972.2	0.0	0.0	0.0	68.0
run3	run3	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	yolo.slice	100.0	100.0	142.43	100.0	142.43	38.9	85.90	2	GPU0	1	4.0	1088.4	0.0	0.0	0.0	69.2
run3	run3	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.0	38.9	85.90	100.0	142.43	38.9	85.90	2	GPU1	1	4.0	1843.9	0.0	0.0	0.0	69.2
run4	run4	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	101.1	38.8	58.92	38.8	58.92	0.0	12.06	2	GPU0	1	4.0	1787.1	0.0	0.0	0.0	67.9
run4	run4	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	137.08	100.0	137.08	0.0	12.18	2	GPU0	1	4.0	1279.9	0.0	0.0	0.0	68.0
run4	run4	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.0	40.7	55.24	40.7	55.24	0.0	12.05	2	GPU0	1	4.0	2198.1	0.0	0.0	0.0	68.0
run4	run4	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	11.95	0.0	12.18	0.0	11.95	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.8
run4	run4	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.9	35.4	57.59	35.4	57.59	0.0	12.20	2	GPU0	1	4.0	1774.3	0.0	0.0	0.0	69.3
run4	run4	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	12.20	35.4	57.59	0.0	12.20	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	69.3
run4	run4	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	137.10	99.0	137.10	0.0	12.35	2	GPU0	1	4.0	1279.3	0.0	0.0	0.0	68.5
run4	run4	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	12.35	99.0	137.10	0.0	12.35	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.5
run4	run4	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	35.9	52.66	35.9	52.66	0.0	12.20	2	GPU0	1	4.0	2197.6	0.0	0.0	0.0	67.4
run4	run4	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	12.20	35.9	52.66	0.0	12.20	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	67.4
run4	run4	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.8	38.8	59.54	38.8	59.54	99.8	159.86	2	GPU0	1	4.0	1359.5	0.0	0.0	0.0	67.8
run4	run4	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.0	99.8	159.86	38.8	59.54	99.8	159.86	2	GPU1	1	4.0	1085.6	0.0	0.0	0.0	67.8
run4	run4	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	yolo.slice	100.9	36.4	59.83	36.4	59.83	38.3	76.56	2	GPU0	1	4.0	1532.6	0.0	0.0	0.0	67.8
run4	run4	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	A2(YOLO_Medium)	nodejs.slice	100.1	38.3	76.56	36.4	59.83	38.3	76.56	2	GPU1	1	4.0	1885.1	0.0	0.0	0.0	67.8
run4	run4	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	yolo.slice	100.1	100.0	139.72	100.0	139.72	38.4	82.90	2	GPU0	1	4.0	1078.1	0.0	0.0	0.0	69.2
run4	run4	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.0	38.4	82.90	100.0	139.72	38.4	82.90	2	GPU1	1	4.0	1869.5	0.0	0.0	0.0	69.2
run5	run5	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	101.1	37.0	60.56	37.0	60.56	0.0	13.33	2	GPU0	1	4.0	1794.5	0.0	0.0	0.0	67.9
run5	run5	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	138.70	100.0	138.70	0.0	12.80	2	GPU0	1	4.0	1280.7	0.0	0.0	0.0	68.0
run5	run5	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.1	39.1	54.96	39.1	54.96	0.0	12.71	2	GPU0	1	4.0	2195.4	0.0	0.0	0.0	67.9
run5	run5	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	12.41	0.0	12.09	0.0	12.41	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	69.4
run5	run5	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.7	34.9	57.32	34.9	57.32	0.0	12.50	2	GPU0	1	4.0	1777.8	0.0	0.0	0.0	68.6
run5	run5	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	12.50	34.9	57.32	0.0	12.50	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.6
run5	run5	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	137.50	99.0	137.50	0.0	12.54	2	GPU0	1	4.0	1279.4	0.0	0.0	0.0	67.7
run5	run5	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	12.54	99.0	137.50	0.0	12.54	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.7
run5	run5	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	36.8	53.27	36.8	53.27	0.0	12.34	2	GPU0	1	4.0	2197.3	0.0	0.0	0.0	68.9
run5	run5	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	12.34	36.8	53.27	0.0	12.34	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.9
