timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:23:33.097,2.4,0.0,4.76,1.30,0.00,11.34,27,5,0.0,0.0,12.0,4497,1015,932,900,900,900,900,1306,900,900,901,897,886,900,1048,3807
2026-02-10T12:23:34.429,3.2,0.0,4.44,0.99,0.00,11.31,27,9,0.0,0.0,11.9,3544,1485,1374,900,4107,900,1203,900,896,900,1429,900,901,898,900,893
2026-02-10T12:23:35.789,4.3,0.0,4.97,1.31,0.00,11.30,27,7,0.0,0.0,11.9,2883,1050,900,900,896,1920,3595,900,895,895,898,900,899,900,900,901
2026-02-10T12:23:37.161,2.7,0.0,5.48,0.99,0.00,11.52,27,7,0.0,2.9,11.9,2552,966,900,900,1423,2128,2453,899,900,900,900,1129,900,900,900,900
2026-02-10T12:23:38.493,3.2,0.0,6.81,1.00,0.00,11.72,27,11,0.0,21.5,12.0,4185,1822,4312,912,918,895,900,900,900,898,900,900,901,900,900,899
2026-02-10T12:23:39.861,7.1,0.1,7.60,3.07,0.00,11.85,27,18,0.0,121.5,12.2,3591,2948,1357,1374,1453,964,1122,1028,1124,1066,1351,900,1094,1195,1476,901
2026-02-10T12:23:41.209,7.4,0.0,5.72,1.73,0.00,12.06,27,20,0.0,0.0,12.2,1056,2697,4427,1709,1523,958,899,1376,900,900,898,1152,1237,900,900,1157
2026-02-10T12:23:42.513,5.6,0.0,5.19,1.23,0.00,11.83,27,13,0.0,6.3,12.0,3982,4755,1704,900,1652,900,1983,900,900,897,900,900,901,900,3717,898
2026-02-10T12:23:43.861,2.9,0.0,4.88,1.25,0.00,11.46,27,7,0.0,27.1,12.0,4807,3843,1058,900,900,874,900,900,900,901,900,1205,900,3740,900,899
2026-02-10T12:23:45.189,2.2,0.1,4.94,1.11,0.00,11.41,27,7,0.0,99.5,12.0,2310,2190,901,1596,900,1947,900,900,895,901,900,900,900,900,896,899
2026-02-10T12:23:46.533,3.3,0.0,4.49,0.89,0.00,11.51,27,7,0.0,0.0,12.0,4681,1283,2839,890,901,900,897,900,900,901,1641,4733,4891,4765,3849,956
2026-02-10T12:23:47.897,2.8,0.0,5.89,2.38,0.00,11.42,27,5,0.0,0.0,12.0,2125,3764,1118,898,1526,900,900,1170,900,900,900,892,900,900,2378,900
2026-02-10T12:23:49.229,2.6,0.1,6.26,0.86,0.00,11.28,27,7,0.0,42.4,12.0,4499,1200,904,3654,900,897,900,1260,1349,900,900,901,900,900,900,896
2026-02-10T12:23:50.569,3.6,0.0,5.79,1.06,0.00,11.41,27,7,0.0,0.0,12.0,4784,1581,907,896,900,4105,900,900,900,900,900,900,900,900,900,900
2026-02-10T12:23:51.933,2.6,0.0,5.12,1.08,0.00,11.36,27,5,0.0,0.0,12.0,4175,4340,2663,912,900,896,900,900,901,900,900,900,900,900,900,900
2026-02-10T12:23:53.293,2.2,0.0,4.34,1.03,0.00,11.32,27,5,0.0,0.0,12.0,3201,2900,1472,892,900,901,892,900,895,900,900,900,900,900,900,893
2026-02-10T12:23:54.665,6.6,0.1,6.96,2.73,0.00,11.83,27,20,0.0,120.0,12.2,4573,1408,1096,1180,960,1754,2697,986,1428,995,1027,897,1496,928,1301,977
2026-02-10T12:23:56.056,8.0,0.0,5.69,1.61,0.00,11.90,27,19,0.0,0.0,12.2,1400,2618,2695,1171,2808,896,1247,892,1389,913,1055,1458,895,1180,1034,1051
2026-02-10T12:23:57.361,6.7,0.0,5.21,1.29,0.00,11.90,27,15,0.0,0.0,12.0,4244,1558,901,900,898,900,896,900,900,900,901,900,3613,901,900,896
2026-02-10T12:23:58.733,3.8,0.0,5.56,1.13,0.00,11.42,27,7,0.0,0.0,12.0,4627,1349,900,896,891,900,895,899,898,4147,1275,900,900,900,900,901
2026-02-10T12:24:00.097,3.1,0.1,6.57,1.05,0.00,11.59,27,7,0.0,146.4,12.0,3179,3151,1248,900,893,1692,4225,900,1276,900,900,1240,900,900,900,901
2026-02-10T12:24:01.385,3.8,0.0,4.96,1.26,0.00,11.53,27,7,0.0,0.0,12.0,3373,1192,997,1121,2120,900,900,4006,900,900,900,900,1249,900,900,901
2026-02-10T12:24:02.713,3.2,0.0,4.54,1.14,0.00,11.51,27,7,0.0,0.0,12.0,4196,2667,2147,1020,1802,900,4003,895,900,900,900,900,900,900,901,900
2026-02-10T12:24:04.037,2.8,0.0,4.65,1.16,0.00,11.53,27,5,0.0,21.3,12.0,3521,1385,898,895,897,901,897,900,900,893,900,901,900,2760,898,900
2026-02-10T12:24:05.413,3.4,0.0,4.60,1.00,0.00,11.44,27,14,0.0,0.0,12.0,4185,1006,909,899,913,3441,970,899,897,900,901,900,900,901,900,900
